times,nowX,nowY,env,envUp,envDown,envRight,envLeft,action,reward
0,-1,0,1,1,1,1,1,4,-1
1,-1,1,1,9,1,1,1,1,-1
4,-1,4,1,0,9,9,3,1,-1
13,1,9,1,1,0,9,1,4,-1
14,1,10,1,9,1,9,1,1,-1
18,1,14,1,1,9,9,1,1,-1
19,1,15,1,1,1,9,3,1,-1
20,1,16,1,1,1,9,1,1,-1
21,1,17,1,1,1,9,0,1,-1
22,1,18,1,1,1,9,0,1,-1
23,1,19,1,1,1,0,0,1,-1
24,1,20,1,1,1,9,1,1,-1
25,1,21,1,0,1,9,1,1,-1
26,0,21,1,1,1,1,0,4,-1
27,0,22,1,0,1,0,1,1,-1
28,-1,22,1,0,0,1,0,4,-1
29,0,22,1,0,1,0,1,2,-1
30,0,21,1,1,1,1,0,3,-1
31,1,21,1,0,1,9,1,2,-1
35,2,24,2,2,9,2,2,1,1000
