times,nowX,nowY,env,envUp,envDown,envRight,envLeft,action,reward
0,0,1,1,9,1,1,1,1,-50
1,1,1,1,9,1,1,1,2,-1
4,2,3,1,1,9,1,9,1,-1
5,3,3,1,0,1,1,1,2,-1
6,4,3,1,0,1,1,1,2,-1
7,5,3,1,0,1,1,1,2,-1
8,6,3,1,1,1,1,1,2,-1
9,6,4,1,1,1,1,0,1,-1
10,7,4,1,1,1,0,1,2,-1
11,7,5,1,1,1,0,1,1,-1
12,6,5,1,1,1,1,1,4,-1
13,6,6,1,1,1,1,1,1,-1
14,5,6,1,1,1,1,1,4,-1
15,5,7,1,1,1,1,1,1,-1
16,4,7,1,1,1,1,1,4,-1
17,4,8,1,1,1,1,9,1,-1
29,5,15,1,0,0,1,9,2,-1
30,6,15,1,0,0,1,1,2,-1
31,7,15,1,0,0,0,1,2,-1
32,7,16,0,1,1,0,0,1,-500
