times,nowX,nowY,env,envUp,envDown,envRight,envLeft,action,reward
0,1,0,1,1,1,1,1,2,-1
1,2,0,1,1,1,1,1,2,-1
2,3,0,1,1,1,1,1,2,-1
3,4,0,1,1,1,1,1,2,-1
4,5,0,1,1,1,1,1,2,-1
5,6,0,1,1,1,1,1,2,-1
6,7,0,1,1,1,0,1,2,-1
7,7,1,1,1,1,0,1,1,-1
8,7,2,1,0,1,0,0,1,-1
9,7,1,1,1,1,0,1,3,-1
10,6,1,1,0,1,1,1,4,-1
11,5,1,1,0,1,1,1,4,-1
12,4,1,1,1,1,1,1,4,-1
13,4,2,1,0,1,0,1,1,-1
14,3,2,1,1,1,1,0,4,-1
15,3,3,1,1,1,0,0,1,-1
16,3,4,1,0,1,1,0,1,-1
17,4,4,1,1,0,1,1,2,-1
18,5,4,1,0,0,1,1,2,-1
19,6,4,1,0,0,1,1,2,-1
20,7,4,1,0,0,0,1,2,-1
21,6,4,1,0,0,1,1,4,-1
22,5,4,1,0,0,1,1,4,-1
23,4,4,1,1,0,1,1,4,-1
24,4,5,1,0,1,0,0,1,-1
25,4,4,1,1,0,1,1,3,-1
26,3,4,1,0,1,1,0,4,-1
27,3,3,1,1,1,0,0,3,-1
28,3,2,1,1,1,1,0,3,-1
29,3,1,1,1,1,1,1,3,-1
30,2,1,1,0,1,1,1,4,-1
31,1,1,1,0,1,1,1,4,-1
32,0,1,1,9,1,1,1,4,-1
34,0,3,1,1,9,0,9,1,-1
35,0,4,1,1,1,1,9,1,-1
36,0,5,1,0,1,1,9,1,-1
37,1,5,1,0,1,1,1,2,-1
38,1,4,1,1,0,0,1,3,-1
39,1,5,1,0,1,1,1,1,-1
40,2,5,1,0,0,0,1,2,-1
41,1,5,1,0,1,1,1,4,-1
42,0,5,1,0,1,1,9,4,-1
47,1,7,1,1,0,1,9,2,-1
48,2,7,1,3,0,3,1,2,-1
49,1,7,1,1,0,1,9,4,-1
50,1,8,1,1,1,3,9,1,-1
51,1,9,1,1,1,3,9,1,-1
52,2,9,3,1,3,3,1,2,-1
53,2,6,0,1,1,0,0,3,-500
