times,nowX,nowY,env,envUp,envDown,envRight,envLeft,action,reward
0,-2,0,1,1,1,1,1,4,-1
1,-3,0,1,1,1,1,1,4,-1
2,-4,0,1,1,1,1,1,4,-1
3,-5,0,1,1,1,1,1,4,-1
4,-6,0,1,1,1,1,1,4,-1
5,-7,0,1,1,1,1,0,4,-1
6,-7,-1,1,1,1,1,0,3,-1
7,-7,-2,1,1,1,1,0,3,-1
8,-7,-3,1,1,1,1,0,3,-1
9,-7,-4,1,1,1,1,0,3,-1
10,-7,-5,1,1,0,1,0,3,-1
11,-6,-5,1,1,0,1,1,2,-1
12,-6,-4,1,1,1,1,1,1,-1
13,-5,-4,1,1,1,1,1,2,-1
14,-4,-4,1,0,1,1,1,2,-1
15,-3,-4,1,0,1,1,1,2,-1
16,-2,-4,1,9,1,9,1,2,-1
19,1,-4,1,1,1,1,9,2,-1
20,2,-4,1,1,1,1,1,2,-1
21,3,-4,1,1,1,1,1,2,-1
22,4,-4,1,0,1,1,1,2,-1
23,5,-4,1,0,1,1,1,2,-1
24,6,-4,1,0,1,1,1,2,-1
25,7,-4,1,0,1,0,1,2,-1
26,6,-4,1,0,1,1,1,4,-1
27,5,-4,1,0,1,1,1,4,-1
28,4,-4,1,0,1,1,1,4,-1
29,3,-4,1,1,1,1,1,4,-1
30,3,-3,1,1,1,0,1,1,-1
31,3,-2,1,1,1,1,1,1,-1
32,2,-2,1,1,1,1,0,4,-1
33,3,-2,1,1,1,1,1,2,-1
34,4,-2,1,1,0,1,1,2,-1
35,4,-1,1,1,1,1,1,1,-1
36,5,-1,1,1,1,1,1,2,-1
37,5,-2,1,1,0,0,1,3,-1
38,6,-2,0,1,0,0,1,2,-500
